110,"Sure , what's the matter ?",5,4,5,5,5,5,4,4,5,4
123,"Impossible ! I surely have a lot to learn , but I think I'll learn it and I'll get a new smile for a bit of it .",3,2,4,3,2,4,3,4,3,4
134,I also think that we have hurdle .,3,3,4,2,5,3,3,5,2,2
145,"Whoa ! That a joke ? Uh ... you know why ? If you don't know that , you're a politician . Or you have a crush on that .",2,2,3,3,2,3,2,2,2,2
156,"Well , if you'd like to , I'll cut the line to you . It's conducted between five dollars and one dime .",2,2,3,2,2,3,2,1,2,3
167,"Yes , that does cause the expired motor .",3,2,4,2,3,4,4,4,2,3
178,You can't lend the money if you want to .,3,4,3,4,2,4,2,5,2,4
189,"I know . That's why Christopher and I prefer to pay the Tv amount , which is more superior than I can find work .",2,2,2,2,2,3,2,4,3,1
0,But they don't actually . But it's too hot .,3,3,2,3,5,4,2,3,4,3
11,How about the price and the necessary load of the coin ?,3,3,4,3,3,3,3,5,2,4
22,"No , you can stay at home to eat a local house and tea for your party . Besides , it's the most important thing to me .",2,3,2,2,3,4,2,4,2,3
33,But they don't see any things.But here . But I think they are just tougher .,2,4,2,1,3,4,2,2,4,4
44,"Sure . In that case , I'm afraid I'm in a hurry !",4,4,5,5,5,5,5,2,4,3
55,All right . But we don't have such a nice gift .,4,4,4,4,5,5,3,4,5,4
66,I watched the green tea and it works in cool .,3,3,2,2,3,4,3,2,2,4
77,Sounds good . I will measure you as soon as possible .,5,5,4,5,3,5,3,4,3,4
88,I have no idea . I can do it well . They were so easy to be done .,4,4,3,4,3,4,3,5,2,4
99,I don't think that I can't agree with my important math hearts .,1,4,3,1,3,3,2,2,2,4
111,"No , I know my English is hard to say . I guess my English is quite different from my enterprise . His mother is a housewife . He give me your hand , so I can solve my problems .",1,2,3,2,2,4,2,3,2,2
114,"No , I'm on third .",5,3,4,5,5,4,5,3,5,3
115,"no , it's about a five-minute walk . You can take it via the motorway .",5,3,5,3,4,5,3,4,4,2
116,we'll have to pay a lot of pollution .,3,3,3,2,3,4,2,3,2,3
117,"ok . You can keep the car on a band if you want to travel , especially at this journey .",2,3,4,3,3,5,3,5,2,4
118,do you have an appointment ?,5,5,5,4,4,5,5,5,5,4
